Category	Date	PdDistrict	X	Y	Location
VEHICLE THEFT	5/26/17	NORTHERN	-122.4306605	37.77352388	"(37.77352387657524, -122.43066051653656)"
VEHICLE THEFT	3/18/17	CENTRAL	-122.4130138	37.79431956	"(37.79431956052376, -122.41301378409533)"
VEHICLE THEFT	3/18/17	MISSION	-122.4303754	37.75835116	"(37.75835116417005, -122.43037543367477)"
VEHICLE THEFT	12/11/17	MISSION	-122.4208327	37.74799945	"(37.747999449322556, -122.4208326503028)"
VEHICLE THEFT	3/19/17	NORTHERN	-122.4225526	37.80017653	"(37.80017652941291, -122.42255264067735)"
VEHICLE THEFT	4/22/17	SOUTHERN	-122.4097388	37.7703482	"(37.77034820354541, -122.40973877190581)"
VEHICLE THEFT	12/8/17	SOUTHERN	-122.4052113	37.77756837	"(37.777568366140514, -122.40521126711712)"
VEHICLE THEFT	12/12/17	INGLESIDE	-122.4228424	37.74102874	"(37.74102874421168, -122.4228423760506)"
VEHICLE THEFT	3/23/17	MISSION	-122.4104781	37.76624632	"(37.76624632091369, -122.41047806948747)"
VEHICLE THEFT	3/23/17	NORTHERN	-122.4422802	37.79718138	"(37.797181379832416, -122.442280193477)"
VEHICLE THEFT	6/2/17	NORTHERN	-122.4266621	37.79922341	"(37.79922340980945, -122.42666213405117)"
VEHICLE THEFT	3/16/17	INGLESIDE	-122.4166307	37.73703702	"(37.7370370197857, -122.41663065022173)"
VEHICLE THEFT	3/23/17	MISSION	-122.4438676	37.75024924	"(37.75024924001813, -122.44386764477771)"
VEHICLE THEFT	3/24/17	MISSION	-122.4271427	37.76617631	"(37.7661763079166, -122.42714265266795)"
VEHICLE THEFT	3/25/17	BAYVIEW	-122.3928762	37.74542821	"(37.74542820702917, -122.3928762322401)"
VEHICLE THEFT	3/24/17	INGLESIDE	-122.4454574	37.73064873	"(37.73064873019862, -122.44545742072654)"
VEHICLE THEFT	6/3/17	SOUTHERN	-122.4140273	37.77186362	"(37.77186361771543, -122.4140272626904)"
