Date,X,Y
6/12/17,-122.5100336,37.77230656
5/2/17,-122.4749614,37.72569017
8/6/17,-122.421963,37.79689897
5/14/17,-122.373376,37.72976921
7/4/17,-122.4131628,37.7870801
8/5/17,-122.4312965,37.76440353
4/9/17,-122.4016684,37.77052835
8/9/17,-122.4378041,37.71494034
12/20/17,-122.3994365,37.77357471
5/13/17,-122.4154528,37.76610617
10/18/17,-122.4263845,37.76464394
5/17/17,-122.4122316,37.72981472
5/15/17,-122.4127525,37.75253067
7/9/17,-122.3887902,37.78840539
1/17/17,-122.4464345,37.76100723
5/18/17,-122.4779397,37.75883112
5/19/17,-122.4003141,37.7449817
7/9/17,-122.4200926,37.7956656
5/21/17,-122.418619,37.77305255
5/22/17,-122.4089691,37.75038122
5/22/17,-122.41481,37.78651941
5/10/17,-122.3933191,37.71120843
5/25/17,-122.4210852,37.75728953
5/20/17,-122.3981521,37.73144432
5/25/17,-122.3944026,37.70890539
7/20/17,-122.3969544,37.71947846
7/20/17,-122.3969544,37.71947846
5/27/17,-122.44537,37.77067591
5/28/17,-122.4362469,37.76147658
5/28/17,-122.4290582,37.73952888
5/30/17,-122.388318,37.75793942
7/21/17,-122.4107385,37.73895444
8/29/17,-122.4606523,37.72655212
8/28/17,-122.4440118,37.75479255
7/27/17,-122.390417,37.73559261
6/3/17,-122.4087106,37.78097067
2/19/17,-122.4097388,37.7703482
6/4/17,-122.4276084,37.77049973
5/25/17,-122.408448,37.8045924
11/7/17,-122.4258671,37.7748401
6/7/17,-122.3888982,37.73466308
6/7/17,-122.438094,37.77214925
6/8/17,-122.3967737,37.79546641
6/3/17,-122.4240763,37.79476454
12/22/17,-122.4085344,37.78203256
11/10/17,-122.4062266,37.78285379
1/13/17,-122.4091319,37.752797
6/10/17,-122.4525279,37.71073058
8/7/17,-122.3834286,37.73580342
8/8/17,-122.4148505,37.78560876
6/10/17,-122.4472499,37.71060076
9/16/17,-122.4997871,37.7485176
9/17/17,-122.4433449,37.71392883
10/31/17,-122.4037759,37.7282405
6/12/17,-122.4089802,37.75120075
2/27/17,-122.4995901,37.77842762
6/12/17,-122.4634851,37.73515668
9/19/17,-122.430214,37.73653856
9/19/17,-122.430214,37.73653856
6/13/17,-122.4395601,37.7710042
6/13/17,-122.4442884,37.76933436
8/11/17,-122.4036446,37.76601601
1/18/17,-122.4156055,37.76771775
11/13/17,-122.4069776,37.7899181
8/14/17,-122.3836391,37.7366049
9/20/17,-122.4027011,37.74633587
6/17/17,-122.4091587,37.77823522
6/16/17,-122.414532,37.75647904
6/10/17,-122.4201203,37.78775706
6/14/17,-122.4680621,37.73064814
6/16/17,-122.4339295,37.74969519
10/1/17,-122.4326899,37.77037757
10/1/17,-122.4715055,37.77689094
6/13/17,-122.4110751,37.77333167
9/26/17,-122.3938565,37.76464455
3/5/17,-122.4307263,37.76275168
6/15/17,-122.4210923,37.78499964
6/20/17,-122.4767637,37.74300156
6/21/17,-122.4193484,37.70994916
6/21/17,-122.4309172,37.79112975
10/6/17,-122.4437022,37.77903649
12/26/17,-122.492068,37.71436155
6/23/17,-122.4054793,37.77616092
6/15/17,-122.4106001,37.76753256
3/8/17,-122.4899516,37.77792152
6/24/17,-122.3996085,37.7223875
8/24/17,-122.4820486,37.77266514
3/9/17,-122.4723219,37.72162217
6/25/17,-122.4194803,37.78426976
6/18/17,-122.4662047,37.77254054
12/21/17,-122.4832834,37.78215362
6/24/17,-122.4246949,37.77737927
6/26/17,-122.5053602,37.73706559
6/18/17,-122.3888857,37.73613151
1/8/17,-122.4066106,37.73089638
8/29/17,-122.4470948,37.77045346
6/24/17,-122.4310464,37.78302957
10/15/17,-122.4319796,37.78004785
8/30/17,-122.4170854,37.78521536
6/7/17,-122.4116031,37.73635977
6/26/17,-122.4729976,37.7515707
6/27/17,-122.4007486,37.79117768
6/26/17,-122.4253241,37.77179502
10/14/17,-122.4430074,37.79229636
6/24/17,-122.4043144,37.77700232
6/27/17,-122.413894,37.7143149
6/24/17,-122.4087106,37.78097067
9/2/17,-122.4096364,37.79010771
6/28/17,-122.4608434,37.76262808
9/3/17,-122.3974507,37.78958619
10/18/17,-122.4368514,37.7703426
7/1/17,-122.4310464,37.78302957
2/4/17,-122.4324234,37.77764737
2/4/17,-122.4324234,37.77764737
7/1/17,-122.4176342,37.78706319
